personality_type,title,description,video_file,mbti,extraversion_letter,openness_letter,agreeableness_letter,conscientiousness_letter
kid_singing_car_seat,Kid Singing in Car Seat,"You're basically sunshine in human form, radiating joy and pulling everyone into your orbit. Every moment is a chance to hype someone up, and your big emotions are always on full display. It's giving ""friend group's emotional support human.""",Kid Singing in Car Seat.mp4,ENFJ,E,N,F,J
take_on_me_girl,Take On Me Girl,"You're the quirky, lovable one who just gets it. Unapologetically yourself, you find magic in the mundane and connect with everyone. You're never afraid to be a little weird, because that's where the fun is. It's giving ""chaotic good bestie vibes.""",Take On Me Girl.mp4,ENFP,E,N,F,P
hey_i_want_famous,Hey I Want to Be Famous,"You popped out with a brand strategy and a five-year plan already loaded. You're a natural-born leader, ready to conquer the world and collect your rightful crowns. The spotlight's on you—and you deserve it. It's giving ""future CEO energy, already.""",Hey I Want to Be Famous.mp4,ENTJ,E,N,T,J
free_shavakado,Free Shavacado,"Your brain is a chaotic genius factory, turning everyday moments into legendary inside jokes. You love to poke fun and push boundaries, always ready with a witty remark. You're the one who makes life endlessly entertaining. It's giving ""certified intellectual menace.""",Free Shavakado.mp4,ENTP,E,N,T,P
target,Target,"You're the king/queen/them of spotting the absurd. Life's just a giant improv show for you, and you're always ready to jump in with a sarcastic observation or a deep, ironic thought. You see the humor others miss. It's giving ""five steps ahead in the meta-commentary game.""",Target.mp4,ENTP,E,N,T,P
i_want_donut,I Want a Donut,"You're the ultimate people-person, radiating warmth and always making sure everyone feels included. Community is everything to you, and you're quick to lend a hand (especially if it involves snacks). It's giving ""the most beloved host/hostess.""",I Want a Donut.mp4,ESFJ,E,S,F,J
fire_alarm_dance,Fire Alarm Dance,"When chaos strikes, you just vibe harder. You turn every unexpected moment into a performance, living fully in the present. You're probably the spontaneous friend who always brings the fun. It's giving ""unbothered icon living their best life.""",Fire Alarm Dance.mp4,ESFP,E,S,F,P
mind_your_business_david,Mind Your Business David,"You've got rules, a plan, and 18 bottles of hand soap to prove it. You run your household (and your life) with an iron fist, because order is peace. You're not here for disruptions or anyone questioning your meticulous methods. It's giving ""head of household energy, no cap.""",Mind Your Business David.mp4,ESTJ,E,S,T,J
nerd,Nerd,"You're the deep, soulful one, with a poetic heart and a tendency to overthink everything (especially your crushes). You see the deeper meaning in life, and your insights are truly profound. It's giving ""mysterious main character with a secret diary.""",Nerd.mp4,INFJ,I,N,F,J
door_whack,Door Whack,"You're the lovable dreamer who tries to do something cool, and then reality hits (literally). But even your fails are charming. You live in your own beautiful world of ideas, sometimes a little clumsy, always sweet. It's giving ""relatable, chaotic good energy.""",Door Whack.mp4,INFP,I,N,F,P
free_real_estate,It's Free Real Estate,"Your humor is a chess move: unexpected, efficient, and a little terrifying. You're the strategist, always five steps ahead, with a dry wit that can cut through any nonsense. You probably just know things before anyone else does. It's giving ""mastermind pulling the strings, but in a chill way.""",It's Free Real Estate.mp4,INTJ,I,N,T,J
road_work_ahead,Road Work Ahead,"You're pun-powered and unbothered, vibing on your own wavelength. Irony's your fav workout. Dropping dad jokes or philosophy mid-convo is your thing. It's giving ""walking encyclopedia with a side of memes.""",Road Work Ahead.mp4,INTP,I,N,T,P
look_at_chickens,Look at All Those Chickens,"You believe what you see, even if it's confidently wrong. But you're so sweet, everyone lets it slide. Your heart's always in the right place. It's giving ""pure good intentions, slightly oblivious angel.""",Look at All Those Chickens.mp4,ISFJ,I,S,F,J
emily_wake_up,Emily Wake Up,"Peace > Productivity, always. Dreams are better than deadlines, and self-care is your mantra. You're chill, artistic, and move at your own beautiful pace. It's giving ""serene artist who values their naps.""",Emily Wake Up.mp4,ISFP,I,S,F,P
hey_ron_billy,Hey Ron Hey Billy,"Cool under pressure? Nah, indifferent to gravity. Handling anything with unshakeable calm. Resourceful, adaptable, unbothered. You're the one everyone trusts in a crisis. It's giving ""effortlessly cool problem-solver.""",Hey Ron Hey Billy.mp4,ISTP,I,S,T,P
croissant,You Almost Made Me Drop My Croissant,"You are the guardian of order, routine, and all things logical. Surprises are not your jam; consistency is your comfort zone. You're reliable, responsible, and you will protect your peace (and your breakfast). It's giving ""the organized bestie who keeps it all together.""",You Almost Made Me Drop My Croissant.mp4,ISTJ,I,S,T,J 
